Ageyears,Data_Value,Class,Question
 ,21.7,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,31.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,34.2,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,21.5,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,29.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
35 - 44,40.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
55 - 64,18.8,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,13.7,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,33,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,25.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 , ,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,20.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,36,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,29.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,17.5,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,38.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
55 - 64,35.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,38,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,27.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,26.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
45 - 54,44.3,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,28.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,29.5,Physical Activity,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week
 ,32.5,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,35.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,24.2,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 , ,Physical Activity,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,28.5,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,25,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,56.1,Physical Activity,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
 , ,Physical Activity,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week
 ,29.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,25.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
25 - 34,39,Physical Activity,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
 ,37.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,32.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,34,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,26.1,Physical Activity,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
 ,33.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,46.1,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,23.6,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,22.6,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,26,Fruits and Vegetables,Percent of adults who report consuming vegetables less than one time daily
 ,10.9,Physical Activity,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week
 ,39,Physical Activity,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week
45 - 54,42.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,35.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,29.9,Fruits and Vegetables,Percent of adults who report consuming fruit less than one time daily
 ,8.8,Physical Activity,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week
 , ,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 , ,Fruits and Vegetables,Percent of adults who report consuming fruit less than one time daily
25 - 34,22.1,Physical Activity,Percent of adults who engage in no leisure-time physical activity
55 - 64,28.1,Physical Activity,Percent of adults who engage in no leisure-time physical activity
18 - 24,25,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
55 - 64,21.1,Physical Activity,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week
35 - 44,35.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 , ,Physical Activity,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
55 - 64,24,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,42.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,26.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,35.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,25.9,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,41.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,33.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,41.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,30.5,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,33.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,23.8,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,30.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,26.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
55 - 64,38.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,30.5,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,36.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,29.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,27.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,23.1,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,13.1,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,10.6,Physical Activity,Percent of adults who engage in no leisure-time physical activity
55 - 64,24.6,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,33.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,30.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,36.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,32.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,20,Physical Activity,Percent of adults who engage in no leisure-time physical activity
35 - 44,31.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
25 - 34,15,Physical Activity,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week
 ,23.2,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,65.8,Physical Activity,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
65 or older,39.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,30.4,Physical Activity,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week
 ,35.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,27.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,42.7,Physical Activity,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
 ,35.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,29.9,Physical Activity,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week
25 - 34,26.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
65 or older,25.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,29.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,33.2,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,32.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,22.7,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,10.1,Physical Activity,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week
 ,38.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,19.6,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,30.2,Physical Activity,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
 ,15,Physical Activity,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week
65 or older,36.9,Physical Activity,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
 ,20.2,Physical Activity,Percent of adults who engage in no leisure-time physical activity
35 - 44,29.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,34.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
45 - 54,26.8,Physical Activity,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week
65 or older,52.8,Physical Activity,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
 ,34,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,39.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,24.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
65 or older,41.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
18 - 24,15.7,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,24.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 , ,Physical Activity,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
 , ,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,15.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 , ,Physical Activity,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week
 ,34.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,27.3,Physical Activity,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
 ,23,Physical Activity,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week
35 - 44,37,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,34.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,32.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
45 - 54,26.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,36.4,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,32,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
18 - 24,12.5,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,38.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
45 - 54,41.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,34.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,31.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,30.8,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,34.5,Physical Activity,Percent of adults who engage in no leisure-time physical activity
35 - 44,36,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,32.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,32.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
45 - 54,29.1,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,25.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,28.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,36,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
18 - 24,41.4,Physical Activity,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week
45 - 54,39.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,29.7,Physical Activity,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
 ,34.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
45 - 54,28.4,Physical Activity,Percent of adults who engage in no leisure-time physical activity
25 - 34,30.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,20.7,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,9.2,Physical Activity,Percent of adults who engage in no leisure-time physical activity
65 or older,21.5,Physical Activity,Percent of adults who engage in no leisure-time physical activity
65 or older,30.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,30.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,30.6,Physical Activity,Percent of adults who engage in no leisure-time physical activity
25 - 34,19.1,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,33.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,25.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,38.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,30,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
35 - 44,18.4,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,7,Physical Activity,Percent of adults who engage in no leisure-time physical activity
45 - 54,38.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,14.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
25 - 34,14.5,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,29.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,28.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,8.3,Physical Activity,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week
 ,25.6,Physical Activity,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
 ,23.5,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,32.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,9.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
45 - 54,34,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
55 - 64,38.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,35.3,Physical Activity,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week
 ,15.9,Physical Activity,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week
 ,34.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,27.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,37.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
18 - 24,22.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
55 - 64,32.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,29.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
35 - 44,15.7,Physical Activity,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
 ,19.1,Physical Activity,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week
35 - 44,48.5,Physical Activity,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
 ,30.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 , ,Physical Activity,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week
65 or older,37.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,32.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
35 - 44,8.5,Physical Activity,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week
 ,25,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,60.5,Physical Activity,Percent of adults who engage in no leisure-time physical activity
65 or older,39.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,39.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,37.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
65 or older,25.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,32.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,4.5,Physical Activity,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week
 ,35.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,37.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,28.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,39.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
55 - 64,17,Physical Activity,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week
 ,30.1,Physical Activity,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
 ,16.4,Physical Activity,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
45 - 54,36.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
55 - 64,39.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
55 - 64,28.3,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,44.6,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,32.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
25 - 34,12.2,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,37,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,34,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,35.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,27.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,32.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
25 - 34,33.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
65 or older,30.9,Physical Activity,Percent of adults who engage in no leisure-time physical activity
35 - 44,36.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,21.9,Physical Activity,Percent of adults who engage in no leisure-time physical activity
25 - 34,19.8,Physical Activity,Percent of adults who engage in no leisure-time physical activity
55 - 64,38.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,25.8,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,55.4,Physical Activity,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
 ,33.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,40.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,10.8,Physical Activity,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week
 ,24.4,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,20.9,Physical Activity,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week
 ,28.1,Physical Activity,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week
 ,39.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,38,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,30.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,22.6,Physical Activity,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week
 ,20.4,Physical Activity,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week
 ,33.5,Physical Activity,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination)
 ,32.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
45 - 54,17.1,Fruits and Vegetables,Percent of adults who report consuming vegetables less than one time daily
 ,39.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
65 or older,23.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,38.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,29.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,25.9,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,36.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
45 - 54,33.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,23.6,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,38.3,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,21.6,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,12.9,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,11.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,31.1,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,23.5,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,14.7,Physical Activity,Percent of adults who engage in no leisure-time physical activity
65 or older,39.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,32,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,37.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,30.6,Physical Activity,Percent of adults who engage in no leisure-time physical activity
65 or older,2.2,Physical Activity,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week
25 - 34,29.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
18 - 24,18.4,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 , ,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
45 - 54,37,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
 ,32.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
25 - 34,22.1,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,32.5,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,20,Physical Activity,Percent of adults who engage in no leisure-time physical activity
 ,36.7,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity
 ,32.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
35 - 44,31.2,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification
